Unnamed: 0,ชื่อ,โรงพยาบาลที่ติดอันดับการจัดโรงพยาบาลที่ดีที่สุดโลก,เครือกลุ่มโรงพยาบาล,ประเภทโรงพยาบาลเอกชน,จำนวนเตียง,ราคาห้องผู้ป่วยใน(ห้องธรรมดา),แผนกพื้นฐานในการรักษา,จำนวนแพทย์,อัตรา IPD,อัตรา OPD,จำนวนครั้งในการเคลม,กลุ่มที่ 1,กลุ่มที่ 4,กลุ่มที่ 6,กลุ่มที่ 7,กลุ่มที่ 10,กลุ่มที่ 11,กลุ่มที่ 14,กลุ่มที่ 17,กลุ่มที่ 18,กลุ่มที่ 20,Cluster_label,segment
56,มงกุฎวัฒนะ,None,None,Private,100,4000,8,411,0.0655696833707304,0.9344303166292696,4011,3840.994014869888,2271.04934065934,4603.988108108108,2596.111571428572,2275.296883821933,5128.172118959107,7291.182611940299,0.0,4432.408586572437,2317.505820224719,0,First
57,มิชชั่น,None,None,Private,120,4000,6,107,0.0666666666666666,0.9333333333333332,705,2782.333333333333,1592.104651162791,1200.0,12040.46153846154,10519.74045801527,9504.9,11481.53125,0.0,3306.0,5071.138888888889,0,First
58,มิตรประชา,None,None,Private,148,1800,9,55,0.0657894736842105,0.9342105263157896,76,1852.3,1000.0,950.0,1232.0,9951.533333333333,1143.333333333333,890.0,0.0,1243.333333333333,2835.5,0,First
59,รัชดา-ท่าพระ,None,None,Public,25,4000,8,10,0.1,0.9,40,928.0,0.0,0.0,650.0,1493.75,3609.0,675.0,0.0,653.3333333333334,0.0,0,First
60,ราชวิถี,Top,None,Private,1031,4300,9,347,0.324,0.676,250,3633.333333333333,1228.939393939394,3940.0,10342.53333333333,4989.583333333333,10466.84782608696,2182.294117647059,0.0,4725.727272727273,780.0,0,First
61,รามคำแหง,Top,RAM,Public,486,3500,9,327,0.0794377763739734,0.9205622236260266,6332,7539.862697368422,3057.413321678322,4839.488131868132,3206.788384615385,3997.055346869713,8995.05429906542,5041.500483870968,1250.0,5251.019877675841,3600.706040462427,0,First
63,ราษฎร์บูรณะ,None,None,Public,124,3950,9,46,0.1182608695652173,0.8817391304347826,575,5658.642857142857,2987.024390243902,933.0,8118.056074766355,5776.379746835443,10363.8,2670.734693877551,0.0,4960.536585365854,4062.348837209303,0,First
64,ลาดพร้าว,None,None,Private,180,4700,8,206,0.0628633720930232,0.9372577519379846,8256,6319.916856540083,2300.5309375,7167.791779661017,3047.733063063063,2783.05737876802,7412.692765598652,6130.034960422164,0.0,2541.844058171745,4058.524672131148,0,First
66,วิชัยเวช แยกไฟฉาย,None,Vichaivej,Private,49,3250,9,7,0.099009900990099,0.900990099009901,202,848.6666666666666,880.0,530.0,8976.591666666667,1155.787878787879,1320.909090909091,8303.666666666666,0.0,739.4285714285714,6851.041666666667,0,First
67,วิชัยเวชอินเตอร์เนชั่นแนลหนองแขม(ศรีวิชัย2),None,Vichaivej,Private,172,4200,8,137,0.1222910216718266,0.8792569659442725,646,7042.282608695652,1126.770833333333,3318.0,882.1428571428571,4565.361842105263,9425.745098039217,1154.34375,0.0,5006.11320754717,3264.371428571429,0,First
68,วิชัยยุทธ,None,None,Private,207,5500,9,716,0.0739541832669322,0.9267928286852588,4016,10691.11065989848,4204.89367816092,8236.547272727274,4257.659471365639,3808.679234899329,12643.13273364486,7812.671034482759,0.0,9575.747687861272,4347.987123893806,0,First
69,วิภาราม,None,VIBHA,Private,150,2200,9,272,0.0548297279931462,0.9451702720068536,4669,4089.262987012987,4594.938181818182,1767.868421052632,2042.005586592179,3233.57684729064,4954.089552238806,4826.91095890411,0.0,2228.230061349693,5986.444610778443,0,First
70,วิภาวดี,None,None,Private,258,4360,8,417,0.0919146995096362,0.9080853004903636,8769,9122.581395348838,2877.663066954643,6852.164556962025,2625.438040345821,4672.388574369532,9648.650341685649,4947.125,3809.0,7248.540918163672,6510.464968152866,0,First
71,วิมุต,None,None,Private,236,5900,7,232,0.0413533834586466,0.9586466165413534,266,8956.182857142858,0.0,980.0,2759.880735294118,912.020625,5614.733333333334,1204.48,0.0,1743.285714285714,2004.675384615384,0,First
72,ศิครินทร์,None,None,Private,258,5100,9,348,0.0817690557451649,0.9182309442548352,7032,7979.404913043477,2541.45189010989,4360.649275362319,2777.823368421053,3711.878502604168,9385.670026041664,5826.521815718157,1337.25,5127.91899159664,4956.834066666667,0,First
75,สมเด็จพระปิ่นเกล้า กรมแพทย์ทหารเรือ กองทัพเรือ,None,None,Public,414,2200,4,173,0.2446808510638297,0.7553191489361702,94,4850.0,1221.923076923077,0.0,23429.77777777778,689.9852941176471,4958.0,1133.0,0.0,1594.666666666667,586.5,0,First
76,สมิติเวชไชน่าทาวน์ : BDMS,None,BDMS,Private,31,6190,6,85,0.1197604790419161,0.8802395209580839,167,4130.099,2150.0,0.0,8624.216250000001,1694.228333333334,6641.456,27957.10285714285,0.0,5411.697692307692,2886.764090909091,0,First
77,สมิติเวชธนบุรี : BDMS,None,BDMS,Private,150,6190,8,256,0.0417620137299771,0.9582379862700228,1748,12861.80992248062,1499.495813953488,1595.955555555556,1943.602222222222,2911.833758542142,4404.825664335664,3216.893059701493,0.0,2455.937978723404,3943.142164179104,0,First
78,สมิติเวชศรีนครินทร์ : BDMS,Top,BDMS,Private,154,7255,9,8,0.0652360515021459,0.9353361945636623,3495,11701.33352,3370.103586956521,1831.252,2562.228552631579,3732.384744186049,10789.19796491228,9130.227538461537,1911.2,4366.662129032259,11653.35553846154,0,First
80,สวนเบญจกิตติ เฉลิมพระเกียรติ 84 พรรษา,None,None,Public,60,1400,7,45,0.0924369747899159,0.907563025210084,119,6860.0,10561.53846153846,350.0,7196.451142857143,992.6363636363636,18057.14285714286,0.0,0.0,0.0,0.0,0,First
81,สหวิทยาการมะลิ,None,None,Private,19,4800,6,10,0.0333333333333333,0.9666666666666668,30,0.0,0.0,0.0,1433.5,523.8333333333334,0.0,0.0,0.0,0.0,3407.5,0,First
82,สินแพทย์  ศรีนครินทร์,None,VIBHA,Private,110,2800,9,21,0.1260827718960539,0.8739172281039461,3117,10554.62268085106,2492.333333333333,9339.058823529413,5328.988636363636,5141.067320574162,7366.793427230047,6053.016666666666,1766.5,7192.850393700787,3267.088433179724,0,First
83,สินแพทย์ เสรีรักษ์,None,VIBHA,Private,238,4050,9,231,0.1247870528109029,0.8752129471890971,4696,11027.24635568513,2250.082424242424,5139.671,2483.281012658228,4926.335681669928,9769.809667590029,11424.81226993865,0.0,4339.831132075471,3385.604194260486,0,First
85,สิรินาถบึงกุ่ม (วิภาราม นวมินทร์),None,VIBHA,Private,52,3440,4,5,0.0847457627118644,0.9152542372881356,354,10131.14285714286,2749.821428571428,4626.416666666667,0.0,1617.361071428571,8036.852459016393,6796.428571428572,0.0,3861.08,7617.176470588235,0,First
86,สุขสวัสดิ์,None,None,Private,100,4200,8,49,0.1666666666666666,0.8333333333333334,30,0.0,0.0,0.0,6318.733333333334,1145.0,15365.525,0.0,0.0,8160.0,5084.706666666666,0,First
87,สุขุมวิท,None,RAM,Private,135,2760,8,46,0.0661971830985915,0.9342723004694836,2130,5739.838323353293,2174.936170212766,2587.4,10634.76351351351,3440.684297520661,5016.565891472868,8246.753086419752,0.0,3905.210084033613,4210.091503267974,0,First
88,หัวเฉียว,None,None,Private,338,3300,6,391,0.0378750614854894,0.9621249385145104,4066,2156.866236162361,2891.639022222222,1422.916666666667,3998.001028806584,1626.059391447368,4083.379844961241,3220.538990825688,0.0,1852.008648648648,3728.023111111111,0,First
89,อินทรารัตน์,None,None,Private,152,3800,8,21,0.040650406504065,0.959349593495935,123,0.0,0.0,0.0,5358.234848484848,1100.0,0.0,0.0,0.0,0.0,1580.25,0,First
